,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_watts,kilojoules,device_watts,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_cadence,max_watts
10,2,Middagactiviteit,2680.5,3227,3227,0.0,Workout,,2109212586,garmin_push_3337462211,2252351823.0,2019-01-28T16:07:55Z,2019-01-28T17:07:55Z,(GMT+01:00) Europe/Amsterdam,3600.0,[],[],,,The Netherlands,,,0,0,0,1,0,True,False,False,True,only_me,False,,False,2252351823,0.831,7.2,,,,True,145.3,184.0,False,True,,,0,0,False,42.0,4591892,1,a2109212586,,2,62.1,
11,2,Middagloop,7729.7,2241,2293,8.7,Run,0.0,2104004769,garmin_push_3331119158,2246969656.0,2019-01-26T10:49:58Z,2019-01-26T11:49:58Z,(GMT+01:00) Europe/Amsterdam,3600.0,"[51.448624, 5.96005]","[51.447537, 5.960781]",,,The Netherlands,51.448624,5.960781,0,5,0,1,0,False,False,False,False,followers_only,False,g3971767,False,2246969656,3.449,5.1,,,,True,168.9,193.0,False,True,34.1,31.1,0,0,False,90.0,4591892,1,a2104004769,{p_yHiakc@uDuCa@bFiBlCHxClH`F~HkB~AzChE|@~FwTBoE}Kmi@{BjB@fH{B~DhDzLGxEgIzG{EaDaDdNjApCzFjCnHkB|C|DpE]rEaXaM}i@cBtAA`IeB~ChDbM]dFyHdG}EgDsC|NrH`GbImBtBtDhDp@bHmVqLcn@mBfB?rHiBfDvCnQiDdF,2,81.5,
12,2,Avondloop,6540.2,1961,1961,13.0,Run,0.0,2098665414,garmin_push_3324598885,2241509055.0,2019-01-23T18:23:25Z,2019-01-23T19:23:25Z,(GMT+01:00) Europe/Amsterdam,3600.0,"[53.218724, 6.575083]","[53.220886, 6.574995]",,,The Netherlands,53.218724,6.574995,0,2,0,1,0,False,False,False,False,followers_only,False,g3971767,False,2241509055,3.335,5.7,,,,True,158.7,198.0,False,True,5.1,-2.1,0,0,False,53.0,4591892,1,a2098665414,_`ycIqvcg@lBwCc]e_BqFzEmBgFsJtIsEeMeIrKwGMuMbYcQ|MgKf[XnPdPhMr`@jiAhH_JnEhD~]iz@,2,80.9,
13,2,Ochtendactiviteit,31.8,747,747,0.0,Workout,,2097509920,garmin_push_3323103738,2240335943.0,2019-01-23T06:31:27Z,2019-01-23T07:31:27Z,(GMT+01:00) Europe/Amsterdam,3600.0,[],[],,,The Netherlands,,,0,0,0,1,0,True,False,False,True,only_me,False,,False,2240335943,0.043,1.8,,,,True,72.5,120.0,False,True,,,0,0,False,0.0,4591892,1,a2097509920,,2,61.0,
14,2,Middagactiviteit,2540.2,3226,3226,0.0,Workout,,2094070062,garmin_push_3318943634,2236825465.0,2019-01-21T16:07:50Z,2019-01-21T17:07:50Z,(GMT+01:00) Europe/Amsterdam,3600.0,[],[],,,The Netherlands,,,0,0,0,1,0,True,False,False,True,only_me,False,,False,2236825465,0.787,5.3,,,,True,137.4,182.0,False,True,,,0,0,False,30.0,4591892,1,a2094070062,,2,62.1,
15,2,Middagloop,11544.5,7865,7979,31.0,Hike,,2092248431,garmin_push_3316615008,2234933432.0,2019-01-20T14:51:04Z,2019-01-20T15:51:04Z,(GMT+01:00) Europe/Amsterdam,3600.0,"[53.218647, 6.574656]","[53.218926, 6.575036]",,,The Netherlands,53.218647,6.575036,0,4,0,2,0,False,False,False,False,followers_only,False,g4378321,False,2234933432,1.468,3.6,,,,True,108.3,157.0,False,True,4.9,-2.8,0,0,False,22.0,4591892,1,a2092248431,cxxcIwfcg@f@yAjB|B|C{Eb@iKw@{Ctj@kb@tJ{QvBpBhHoHvC}Gnd@}`Da@kQhCuPgBcBsMrXqe@v]cHsToEgW_Cv@uIfNaBdJP|D|BpEl@m@YlAnCxH{BjGqGpE_Ff^kGxD}CfJqAf@{EqBoDqNqWnQWlCnNlt@wB`HqG~E~Jrb@wHzNlHtSThCeC^HbC,2,50.7,
16,2,Avondactiviteit,313.1,3424,3424,0.0,Workout,,2085514819,garmin_push_3308469195,2227943767.0,2019-01-17T19:05:34Z,2019-01-17T20:05:34Z,(GMT+01:00) Europe/Amsterdam,3600.0,[],[],,,The Netherlands,,,0,0,0,1,0,True,False,False,True,only_me,False,,False,2227943767,0.091,1.9,,,,True,140.5,187.0,False,True,,,0,0,False,39.0,4591892,1,a2085514819,,2,61.8,
17,2,Avondloop,6688.7,2090,2090,21.7,Run,0.0,2083162662,garmin_push_3305580629,2225521831.0,2019-01-16T17:57:25Z,2019-01-16T18:57:25Z,(GMT+01:00) Europe/Amsterdam,3600.0,"[53.219159, 6.575373]","[53.221281, 6.578475]",,,The Netherlands,53.219159,6.578475,4,11,0,1,0,False,False,False,False,followers_only,False,g3971767,False,2225521831,3.2,7.3,,,,True,160.1,182.0,False,True,7.9,-2.1,3,0,False,57.0,4591892,1,a2083162662,slycI{ncg@gSpZqW~s@fCb`@~CnKlHtHhXoD}@dKsHzEaL{C{PnQuSy]mHdHaIdCkBqStGwb@zJqZtU{\nN}`@hJkIlDZ,2,81.0,
18,2,Middagactiviteit,2346.3,2835,2835,0.0,Workout,,2078446052,garmin_push_3299873828,2220662926.0,2019-01-14T16:08:57Z,2019-01-14T17:08:57Z,(GMT+01:00) Europe/Amsterdam,3600.0,[],[],,,The Netherlands,,,0,0,0,1,0,True,False,False,True,only_me,False,,False,2220662926,0.828,6.8,,,,True,127.4,170.0,False,True,,,0,0,False,16.0,4591892,1,a2078446052,,2,64.0,
19,2,Middagloop,6457.4,1842,1842,12.5,Run,0.0,2076365079,garmin_push_3297360978,2218360389.0,2019-01-13T16:58:47Z,2019-01-13T17:58:47Z,(GMT+01:00) Europe/Amsterdam,3600.0,"[53.218959, 6.575197]","[53.221091, 6.57466]",,,The Netherlands,53.218959,6.57466,3,11,3,1,0,False,False,False,False,followers_only,False,g3971767,False,2218360389,3.506,6.6,,,,True,161.5,176.0,False,True,4.6,-2.1,3,0,False,55.0,4591892,1,a2076365079,}_ycImvcg@zAeCaAyHoZmvAuF`FeBmFsJjIaFuLyHbKaDvA}AiB_NbY_RpN_H`PgB|Jt@zO|OrMv`@xgAxFcHxElDl]}x@,2,83.9,
