Following Athlete ID,Follow Status,Created At
25331337,Accepted,"Sep 28, 2017, 7:18:58 AM"
3370634,Accepted,"Oct 2, 2017, 6:39:02 PM"
25506627,Accepted,"Oct 6, 2017, 6:58:31 PM"
10024048,Accepted,"Oct 14, 2017, 3:34:15 PM"
25647711,Accepted,"Oct 14, 2017, 3:34:16 PM"
2697713,Accepted,"Oct 14, 2017, 3:34:17 PM"
2272967,Accepted,"Oct 14, 2017, 3:34:19 PM"
22805589,Accepted,"Nov 17, 2017, 2:17:16 PM"
24556858,Accepted,"Nov 17, 2017, 2:17:19 PM"
26281228,Accepted,"Nov 17, 2017, 2:17:21 PM"
7034678,Accepted,"Nov 17, 2017, 2:17:22 PM"
19586396,Accepted,"Nov 17, 2017, 2:17:23 PM"
25744638,Accepted,"Nov 17, 2017, 2:17:26 PM"
890805,Accepted,"Mar 28, 2018, 5:57:45 PM"
23954570,Accepted,"Mar 28, 2018, 5:57:46 PM"
28826196,Accepted,"Mar 28, 2018, 5:57:46 PM"
25185460,Accepted,"Apr 17, 2018, 9:06:44 PM"
25096258,Accepted,"Apr 20, 2018, 6:08:40 AM"
23839861,Pending,"Apr 20, 2018, 6:09:50 AM"
15450914,Accepted,"Apr 20, 2018, 6:09:56 AM"
30003262,Accepted,"Apr 22, 2018, 9:29:22 AM"
4990668,Accepted,"Apr 22, 2018, 9:29:24 AM"
30582136,Accepted,"May 10, 2018, 7:50:47 AM"
30918803,Accepted,"May 22, 2018, 2:44:47 PM"
30223858,Accepted,"May 22, 2018, 2:44:48 PM"
29240484,Accepted,"Jun 4, 2018, 10:06:48 AM"
31508938,Accepted,"Jun 5, 2018, 6:45:50 PM"
31390643,Accepted,"Jun 13, 2018, 5:50:48 PM"
31819712,Accepted,"Jun 16, 2018, 2:11:46 PM"
32859436,Accepted,"Jul 21, 2018, 11:00:42 AM"
19262609,Accepted,"Jul 21, 2018, 11:01:09 AM"
32923572,Accepted,"Jul 21, 2018, 11:01:18 AM"
32980814,Accepted,"Jul 23, 2018, 8:09:38 PM"
13557728,Accepted,"Jul 25, 2018, 12:57:55 PM"
6493162,Accepted,"Jul 28, 2018, 6:50:48 PM"
5387361,Accepted,"Jul 28, 2018, 6:50:51 PM"
5691199,Accepted,"Jul 29, 2018, 6:58:45 PM"
19126909,Accepted,"Aug 19, 2018, 8:50:43 AM"
34021898,Accepted,"Aug 25, 2018, 7:49:52 PM"
24321795,Accepted,"Aug 25, 2018, 7:50:02 PM"
23931074,Accepted,"Aug 26, 2018, 6:56:05 PM"
23637394,Accepted,"Aug 26, 2018, 6:56:55 PM"
11123016,Accepted,"Sep 9, 2018, 5:40:18 PM"
11584689,Accepted,"Sep 16, 2018, 11:02:35 AM"
16322936,Accepted,"Sep 16, 2018, 11:03:36 AM"
29507456,Accepted,"Sep 16, 2018, 11:03:45 AM"
20879011,Accepted,"Sep 16, 2018, 11:03:47 AM"
4879807,Accepted,"Sep 16, 2018, 11:03:52 AM"
11873529,Accepted,"Sep 16, 2018, 11:03:55 AM"
9530665,Accepted,"Sep 16, 2018, 11:04:03 AM"
20502122,Accepted,"Sep 16, 2018, 11:04:17 AM"
6611402,Accepted,"Sep 16, 2018, 11:04:25 AM"
24347610,Accepted,"Sep 16, 2018, 11:04:31 AM"
34877284,Accepted,"Sep 16, 2018, 11:06:24 AM"
27370490,Accepted,"Sep 26, 2018, 10:18:55 AM"
21943482,Accepted,"Oct 21, 2018, 4:20:32 PM"
34006522,Accepted,"Nov 26, 2018, 6:18:28 PM"
36739816,Accepted,"Nov 26, 2018, 6:19:23 PM"
10209432,Accepted,"Dec 30, 2018, 4:01:23 PM"
36942782,Accepted,"Dec 31, 2018, 11:48:34 AM"
20870784,Accepted,"Jan 1, 2019, 8:56:14 PM"
37929253,Accepted,"Jan 7, 2019, 6:33:09 PM"
14753859,Accepted,"Jan 15, 2019, 10:28:11 AM"
23377049,Accepted,"Jan 15, 2019, 10:28:34 AM"
38604591,Accepted,"Jan 25, 2019, 4:43:41 PM"
16242786,Accepted,"Mar 13, 2019, 8:53:53 PM"
30598999,Accepted,"Mar 13, 2019, 8:54:33 PM"
14132745,Accepted,"Mar 13, 2019, 8:54:37 PM"
21877070,Accepted,"Mar 13, 2019, 8:54:50 PM"
21913369,Accepted,"Mar 13, 2019, 8:56:35 PM"
4772477,Accepted,"Mar 16, 2019, 7:42:27 PM"
12618897,Accepted,"Mar 22, 2019, 12:47:39 AM"
6422157,Accepted,"Mar 25, 2019, 4:24:39 PM"
11648485,Accepted,"Mar 25, 2019, 5:31:51 PM"
8164913,Accepted,"Apr 4, 2019, 8:39:52 AM"
24003237,Accepted,"Apr 4, 2019, 8:40:00 AM"
11625459,Accepted,"Apr 4, 2019, 8:40:09 AM"
9968940,Accepted,"Apr 4, 2019, 8:40:19 AM"
40960483,Accepted,"Apr 10, 2019, 7:37:50 PM"
6339917,Accepted,"Apr 11, 2019, 4:42:38 PM"
41167131,Accepted,"Apr 16, 2019, 10:13:42 PM"
8632104,Accepted,"Apr 25, 2019, 8:44:08 AM"
7009027,Accepted,"May 22, 2019, 1:26:16 PM"
8549373,Accepted,"Jun 28, 2019, 12:23:26 PM"
24031819,Accepted,"Jun 28, 2019, 12:23:58 PM"
19965409,Accepted,"Jun 29, 2019, 3:06:30 AM"
13972097,Accepted,"Jul 21, 2019, 4:12:14 PM"
22394999,Accepted,"Jul 21, 2019, 4:12:23 PM"
5839891,Accepted,"Jul 21, 2019, 4:12:24 PM"
15073431,Accepted,"Jul 21, 2019, 4:12:26 PM"
1810982,Accepted,"Jul 21, 2019, 4:12:37 PM"
10902038,Accepted,"Jul 21, 2019, 4:12:40 PM"
15090295,Pending,"Jul 21, 2019, 4:12:47 PM"
26405335,Accepted,"Jul 22, 2019, 8:49:10 AM"
10737418,Accepted,"Jul 28, 2019, 8:17:49 AM"
16005513,Accepted,"Aug 4, 2019, 5:33:28 AM"
16572603,Accepted,"Aug 12, 2019, 8:50:46 AM"
43083713,Accepted,"Aug 20, 2019, 5:14:50 PM"
5886816,Accepted,"Aug 30, 2019, 7:33:59 PM"
7632364,Accepted,"Aug 30, 2019, 7:34:05 PM"
5027407,Accepted,"Aug 30, 2019, 7:34:07 PM"
15914908,Accepted,"Aug 30, 2019, 7:34:08 PM"
20248290,Accepted,"Aug 30, 2019, 7:34:17 PM"
33669336,Accepted,"Sep 6, 2019, 7:55:45 AM"
19320293,Accepted,"Sep 6, 2019, 7:56:45 AM"
21233779,Accepted,"Sep 12, 2019, 4:54:26 PM"
14671449,Accepted,"Sep 12, 2019, 4:54:26 PM"
17117239,Accepted,"Sep 12, 2019, 4:54:27 PM"
