,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_temp,average_watts,kilojoules,device_watts,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_cadence,average_heartrate,max_heartrate,max_watts
173,2,"Oslo - Copenhagen, dag 3",152080.0,33637,40810,1058.0,Ride,10.0,1801569442,garmin_push_2967626924,1932710238.0,2018-08-26T07:15:08Z,2018-08-26T09:15:08Z,(GMT+01:00) Europe/Stockholm,7200.0,"[58.267491, 11.925318]","[57.220975, 12.219371]",,,The Netherlands,58.267491,11.925318,0,16,0,3,0,False,False,False,False,everyone,False,b5474373,False,1932710238,4.521,13.5,,96.5,3244.3,False,True,False,True,84.0,0.0,0,2,False,135.0,4591892,1,a1801569442,yjsbJedxgAhIbWdPh|B~q@sHpyB}xAbk@rBnTsT`{Ahh@~eB{Btp@hSnKbq@|\`o@jq@X|s@xn@d`AvI|QpqB~kBnb@xIfaAnMya@rRmG`hAfh@jr@KdQrOdm@v|AtlBpf@xmAx}@|l@}^d_@v`@za@zG|Xk_@h]uHtu@yuApQyIbo@hb@|bBrd@j`AqTd}@z\jz@_kA~c@aKzcBqnA~l@oNbQ_]tCsw@fn@m}CzBqi@xo@}xAflAy^vq@er@pjAkoBdEspAnSgaAlo@gLjy@yeAfXoiApu@gb@tkCcXf{B|]tu@xVbYz\jUmm@~GWle@zNpHjQnpCuDjhE`y@tWh@rKeQ|OdYqEtRhWdlBfrAcv@z@qd@fMlCbJvV`b@of@lSlVhi@q`@bh@ik@jIkc@zXqa@eDwo@rvBcw@xBdIlGyPvb@yAdXwqA|p@gEnqA{~@psA{_@wA}Hdd@aOzQo`@|y@u_@hq@icAbq@_\|UxBdSw[nv@oIfw@iz@`uAsg@cDur@|KMv@uPby@pYbZ{GzAwPj^y]jl@~Ftb@sUzUy_@bt@yIzk@gjAjQ}yBtPga@duAmh@pnA_MgEuo@btAo_@fb@wwCqOn|Al}AfaAfOthB`c@dRxu@zz@aC`XdcC`zBzl@|@bj@z}@vz@pOhdAs]qA{I`m@{oAb`@_vAb`@e[jf@koAxw@wB}Csq@hc@wb@p^~nA~aBpc@jx@k\kHgC|Li{@liB[laB{\n[ez@fuAemB~FyWtj@}],2,,122.9,154.0,
174,2,"Oslo - Copenhagen, dag 2",169527.0,41395,45097,1549.3,Ride,10.0,1797089600,garmin_push_2962186733,1928100374.0,2018-08-25T06:25:04Z,2018-08-25T08:25:04Z,(GMT+01:00) Europe/Oslo,7200.0,"[59.202796, 11.197]","[58.26755, 11.925492]",,,The Netherlands,59.202796,11.197,0,25,0,3,0,False,False,False,False,everyone,False,b5474373,False,1928100374,4.095,14.4,,94.6,3916.2,False,True,False,True,91.1,0.1,0,2,False,154.0,4591892,1,a1797089600,m`jhJg|icA`eAiZbZ_x@|q@}JpSicAp^we@jlCanBzjAknDlmAg}AlXzp@jcBhzAv~@wUrjAvwAlWrn@bo@hdD|]pi@npBkPpZdc@zS|z@zk@jOdHsNd@}xBjl@ahBxfAf@lm@zdAjg@a\|eEkQ|BpT|]tHpc@`gAb^v_D~_AkOtk@daAt]kaAt\{N`P{i@ljCgNpZa~Ati@wj@he@tJhi@oVpnAqmCvg@lG`t@e`@h|B`x@hf@sjAfp@wIpnDf}AlkBwOn\sw@pk@auCvj@ar@jo@sBfRkWlZc_AoL{lAlNak@xa@lAv@|QIgQpXtClYyf@fq@sBtj@wb@nvA|UhcDiiApkBrt@vrCcuB|nApfF`p@huEdWru@db@_~@gQ{g@o_@wGjZe_CcEgz@hVgqAxRa\bRgzA~c@tWtz@qUzl@okFhzAufCaNkpBw}@w|Ef@kZ~[o~@|Iq{AhYkp@kBkYfqAe|Bd\ulApPkaArH{~BjuB[ru@wf@xT_xCzi@y`Chq@gmAxZsbBvh@iv@fHeeBxj@iu@xy@oBzuButCrS_o@zvCumBfgA}sBntBkvCt|@shB`f@i~Ah_@mYnXqzA{R}xC`AucAtNoH|B_Y{H_KrFoj@wEu}@a\}zAdRaq@fXaTaIgl@hFw}AyFnz@`r@ns@fYlgBvo@y_Ahd@o{Adu@kl@zfBxgG~o@wDvsAzbA|`BeuAaNuKsSejC,2,,117.4,164.0,
175,2,"Oslo - Copenhagen, dag 1",122597.0,30857,37281,1228.7,Ride,10.0,1797070299,garmin_push_2962162487,1928079017.0,2018-08-24T07:49:15Z,2018-08-24T09:49:15Z,(GMT+01:00) Europe/Oslo,7200.0,"[59.903874, 10.745175]","[59.202996, 11.196462]",,,The Netherlands,59.903874,10.745175,0,16,0,3,0,False,False,False,False,everyone,False,b5474373,False,1928079017,3.973,15.6,,94.2,2906.0,False,True,False,True,153.7,1.1,0,2,False,189.0,4591892,1,a1797070299,e~rlJitq`AmNi@qSyg@iBvKmJ_CkAdNmEsI|[aqB~[bFlKw]_Az\bM|l@dM|EhdAerAnZ{j@dMqo@~eAe`@fw@iz@db@kClKz[fSih@|oDke@feEfeArpB}q@hIuWfk@wCnHsd@rLZfU_YhC_n@xc@gT~H{Y`mA}g@jp@zO|\yd@zu@`uArhBjIte@xxAxBj^|Rm@eC~lALcfAtQqBzb@di@~}@pHbPpg@|oBiOxvA~k@s@dS|n@|v@v@n[htAbcBbMpg@pa@`l@dO{@}D|AqBsQ~BrQrGyC{FxFlQeRpfAxId`Ax|@`dAtDbcBsm@b]am@`VbEuB`JnQ`h@lc@_X~Pma@~OwCts@xq@`Qdv@mBro@nfA|x@rKv[rh@|Vxt@hbAvv@xe@jOeMvi@|[vbCpMzV|T~QWnOqZtZpOlTjh@~^wWjd@dP|gAwwApe@sxAjSmjB~q@st@j]up@zpAevDtWyeDtrA_uGjA{TkIf@lGHnCmSxGaxB|i@ecDxGiaBy@y|B~lBmr@nP}n@}Ia|@fVrAzz@ajA|lA}w@zNw{@Dye@pi@i]bQge@~o@ea@fkA}uA}AiLrZ_cAd@wv@_S}iAuHe{DiUyVeAeQ~]_GrFvUnJmBdZgs@O_gAy[ct@~Xwj@pJqm@lXgLNoz@lWwEzw@qs@lf@~HrAin@zc@_v@pFcfAhc@qr@dz@fKl`@{J|\e_@,2,,126.6,173.0,
176,2,Avondrit,51796.1,6322,6358,151.7,Ride,10.0,1787953453,garmin_push_2951421312,1918705676.0,2018-08-21T16:10:35Z,2018-08-21T18:10:35Z,(GMT+01:00) Europe/Amsterdam,7200.0,"[53.216789, 6.566311]","[53.218807, 6.57478]",Groningen,GR,The Netherlands,53.216789,6.566311,36,5,0,4,0,False,False,False,False,everyone,False,b5474373,False,1918705676,8.193,13.5,,148.4,938.2,False,True,False,True,18.0,-3.5,23,0,False,130.0,4591892,1,a1787953453,{{xcImnag@hJkGtApJYhRbE|@hApC`V`DhL{Cr]roBhF`N~BvMfGhDrBbI~[_CdEvh@tw@aXpQy`@lM}J`D|@bCrx@zD~a@f[|fBnk@cKpLje@rV}QzIb`@fElK|Gnq@jb@pItA{S`HyEvGec@jFoMjNoRjGiExKmSno@{d@|ZacA`Q{D`DuJzUeP`HjB|EmQOeGdDyBzImSzRaFte@mg@~CpAjPri@n^gU~CmQpg@mz@da@yaAbGu]~OoJnFgKuAsMhCNZ}NwN{nB^e_@pJaeAsCuY_Dst@{_@uuC}_@{kByCei@gG_b@}HeXoLtAgCeM{RMiOhK}OdRwQdD_AfF{BxBe@pIv@nHiAnDsa@t^aPj]aMlK_KdSwRjV_@dLwa@ju@~@rPjE`SuJjt@eFhNqFlH_Up@m]jOwp@~MmWjUiLvS__@fYcx@zd@fAdFkAjIjUdaAbAlN{FHBvJ}UbFgDhIB~KqCzGc@dJ}Kd@WjNoHMsAdJgFLsCjFiOkBoEbJ~AlIOtGsH~UaFjHiHGgFjGkHe@w_@rQcQUMkCwVqHmPlCsCwCwPzJ}Ksz@uNhFiFaSmEnCkDkJmDqA,2,,150.6,170.0,
177,2,Avondloop,9288.5,6336,7788,153.9,Run,0.0,1752651003,garmin_push_2909328093,1881573996.0,2018-08-05T17:59:06Z,2018-08-05T19:59:06Z,(GMT+01:00) Europe/Paris,7200.0,"[47.31924, 4.094635]","[47.318182, 4.095349]",,,The Netherlands,47.31924,4.094635,0,4,0,1,0,False,False,False,False,everyone,False,,False,1881573996,1.466,2.7,,,,,True,False,True,548.0,518.0,0,2,False,14.0,4591892,1,a1752651003,g`y_Hmv~WiFhD{@nZmBbGuPmAaN~HqC|FaFz^oFhEuJyPeBnKfBhHcC`DIpIpB|QeGcEiF]qB{E[zAoJuEh@wL~EoMxDiBtA}LvDuINyDiK{LnA}[|JuIfBkGlEmClGn@x@jFlA?|@jF`A@iA_@i@wQbEkBtEmJ~Jw_@rBaQ`IlArAjInYxZ}@jLzCvNmBvF,2,50.9,96.5,133.0,
178,2,Avondloop,4788.9,1737,1770,61.1,Run,,1751713342,garmin_push_2908200297,1879681432.0,2018-08-04T18:53:30Z,2018-08-04T20:53:30Z,(GMT+01:00) Europe/Paris,7200.0,"[47.325235, 4.088911]","[47.31827, 4.095191]",,,The Netherlands,47.325235,4.088911,0,0,0,1,0,False,False,False,True,only_me,False,,False,1879681432,2.757,5.8,,,,,True,False,True,548.0,524.3,0,0,False,20.0,4591892,1,a1751713342,uez_Hur}WcFlAkDxLaFxb@cFjEMmDmF_GnFbK|Bo@|DeL~AuRzDgJfMyGtNtBjEuIr@qZvKqBb@yB,2,72.2,145.3,165.0,
179,2,Middagloop,2049.1,578,578,0.0,Run,,1752331475,garmin_push_2908198445,1879678264.0,2018-07-31T12:19:04Z,2018-07-31T14:19:04Z,(GMT+01:00) Europe/Amsterdam,7200.0,,,,,The Netherlands,,,0,0,0,1,0,True,False,False,True,only_me,False,,False,1879678264,3.545,3.9,,,,,True,False,True,,,0,0,False,26.0,4591892,1,a1752331475,,2,77.1,173.2,188.0,
180,2,Nachtloop,6548.6,2212,2212,16.1,Run,0.0,1734202194,garmin_push_2887937424,1860860072.0,2018-07-28T20:24:35Z,2018-07-28T22:24:35Z,(GMT+01:00) Europe/Amsterdam,7200.0,"[53.219104, 6.575371]","[53.224109, 6.568728]",Groningen,GR,The Netherlands,53.219104,6.575371,6,4,0,1,0,False,False,False,False,everyone,False,,False,1860860072,2.96,6.1,,,,,True,False,True,4.0,-2.2,3,0,False,39.0,4591892,1,a1734202194,q`ycIwvcg@~A}Be@cFkZ_yA}FpEeB}EcKnIeFsLuH`KmHS_MnYiPnLcKrW?dYyFpU|GmXtNnLpa@dhAnGeH|DfDtJiS,2,73.7,151.4,185.0,
181,2,Avondrit,48522.9,5641,5703,82.3,Ride,10.0,1727632952,garmin_push_2880306270,1854031584.0,2018-07-25T17:52:27Z,2018-07-25T19:52:27Z,(GMT+01:00) Europe/Amsterdam,7200.0,"[53.22015, 6.576155]","[53.218874, 6.574789]",Groningen,GR,The Netherlands,53.22015,6.576155,17,5,0,1,0,False,False,False,False,everyone,False,b5474373,False,1854031584,8.602,12.9,,160.0,902.4,False,True,False,True,5.2,-6.0,0,0,False,125.0,4591892,1,a1727632952,}pycI}kcg@sZjr@cJkVkBt@yRxY_JrWeXgRoAp@_]iRuMsPgAjEdB|TiDuD{WuBwXyT}GjDgGfMsmArVeNdBcn@{Awm@iZaM_DgBpEkB`@eFyK_x@mTys@PeU{DoS}lCg_C|m@wG?`@yUuGkw@Pc]qCkRdBa`@cG}`AsGuHfAcJ_Es{AgCkRcCuCl@wBKhEtH~@|FoPB}QnM_dArP{hB@oVlH{i@jFcq@dBgHnDoEr@sNbIoQkAaYx@c|@kA{LsHkP}Gq`Atn@{gCddAa{@pEKTzL`CbIEp_@dE~c@fAj[gJjg@HzIlDhPlO]|GpHpF~@vSzt@~GjNnLvJlf@xKfs@zlAxFhGbF`@pGpFt~DnxG|Mp]jWx]vd@rv@bJfe@`CbYbq@|eFaA|KkHhIWjChDzHrLkKrHbBxRd}@bJzY,2,,152.5,168.0,
182,2,Nachtrit,29824.4,3660,3736,60.8,Ride,10.0,1725461901,garmin_push_2877796866,1851782510.0,2018-07-24T19:15:45Z,2018-07-24T21:15:45Z,(GMT+01:00) Europe/Amsterdam,7200.0,"[53.219022, 6.575318]","[53.218894, 6.57486]",Groningen,GR,The Netherlands,53.219022,6.575318,14,3,0,1,0,False,False,False,False,everyone,False,b5474373,False,1851782510,8.149,11.4,,152.5,558.2,False,True,False,True,4.1,-4.2,6,0,False,49.0,4591892,1,a1725461901,ujycI{rcg@SaClC]J}CmIyUsQoz@aG}EmD~BcEiKh@oNo|@s|GyCeIog@iy@mD}AyQ``@kFtCsxA~ScYsi@{GFwF}JiKq@k\yp@eNnS{LD_CtD}V~LcKjLcIl@_IdHot@adAgAgAwDnIyEbb@oGdyA?jo@vEnnAAvq@^bCvDj@hEsArB}FvCaAfCnQdEfJxJX~Alr@tAhKbaB}TxFxIlh@vb@pAs@~r@nh@zd@hIhmAxqAzAe@fHfNbGrFxByBbM}n@HmVpB_KbJiRvNoKjNcYfB`CzCeAhDfKxL}JdHjAhS|}@`JnY,2,,143.2,164.0,
